,Unnamed: 0,horse_id,name,genotype,bloodline,breed_type,color,super_coat,mother,father,horse_type,birthday,starting_class_level,class_level,max_class_level,address
0,0,160198,Pocket Money,Z2,Nakamoto,legendary,Misty Rose,False,317.0,314.0,Mare,2021-12-06T09:45:31,442.0,442.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
1,1377,160198,Pocket Money,Z2,Nakamoto,legendary,Misty Rose,False,317.0,314.0,Mare,2021-12-06T09:45:31,442.0,442.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
2,1,131227,Fiber Optic,Z9,Szabo,cross,Dartmouth Green,False,79041.0,60132.0,Mare,2021-10-17T16:17:40,134.0,135.0,200.0,0xde13a9da1ecf8c2ffc1af6122bc6d59e9ce88160
3,1050,131227,Fiber Optic,Z9,Szabo,cross,Dartmouth Green,False,79041.0,60132.0,Mare,2021-10-17T16:17:40,134.0,135.0,200.0,0xde13a9da1ecf8c2ffc1af6122bc6d59e9ce88160
4,2,156211,Mia Mia,Z16,Buterin,legendary,Slate Gray,False,3724.0,3533.0,Mare,2021-11-28T18:02:55,502.0,503.0,700.0,0x80ba1d9d35546870fd1017dda10cd9b998a98928
5,3,486638,Fool of a Took,Z11,Finney,exclusive,Dartmouth Green,False,375431.0,8276.0,Mare,2022-09-23T22:17:29,502.0,514.0,700.0,0xfa082297564b8fa882b91da18901e0aae683d79e
6,1446,486638,Fool of a Took,Z11,Finney,exclusive,Dartmouth Green,False,375431.0,8276.0,Mare,2022-09-23T22:17:29,502.0,514.0,700.0,0xfa082297564b8fa882b91da18901e0aae683d79e
7,2470,486638,Fool of a Took,Z11,Finney,exclusive,Dartmouth Green,False,375431.0,8276.0,Mare,2022-09-23T22:17:29,502.0,514.0,700.0,0xfa082297564b8fa882b91da18901e0aae683d79e
8,3477,486638,Fool of a Took,Z11,Finney,exclusive,Dartmouth Green,False,375431.0,8276.0,Mare,2022-09-23T22:17:29,502.0,514.0,700.0,0xfa082297564b8fa882b91da18901e0aae683d79e
9,4,370950,The Landing,Z14,Finney,exclusive,Buff Gold,False,206124.0,29031.0,Colt,2022-03-21T16:00:21,390.0,391.0,400.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
10,3039,370950,The Landing,Z14,Finney,exclusive,Buff Gold,False,206124.0,29031.0,Colt,2022-03-21T16:00:21,390.0,391.0,400.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
11,3836,370950,The Landing,Z14,Finney,exclusive,Buff Gold,False,206124.0,29031.0,Colt,2022-03-21T16:00:21,390.0,391.0,400.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
12,4389,370950,The Landing,Z14,Finney,exclusive,Buff Gold,False,206124.0,29031.0,Colt,2022-03-21T16:00:21,390.0,391.0,400.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
13,5,422656,Amethyst Blaze,Z16,Buterin,legendary,Oval Orchid,False,20737.0,26144.0,Colt,2022-06-06T04:17:54,370.0,370.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
14,2786,422656,Amethyst Blaze,Z16,Buterin,legendary,Oval Orchid,False,20737.0,26144.0,Colt,2022-06-06T04:17:54,370.0,370.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
15,3551,422656,Amethyst Blaze,Z16,Buterin,legendary,Oval Orchid,False,20737.0,26144.0,Colt,2022-06-06T04:17:54,370.0,370.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
16,3888,422656,Amethyst Blaze,Z16,Buterin,legendary,Oval Orchid,False,20737.0,26144.0,Colt,2022-06-06T04:17:54,370.0,370.0,500.0,0x96016d03cb47e289b777eaabcf3b34a04bc54ae8
